advertiser_id,datetime,latitude,longitude
ADID_1,2025-01-09 06:39:00,-45.45979767,-44.0000072
ADID_1,2025-01-01 22:29:00,-44.0004771,-44.0000056
ADID_1,2025-01-01 18:08:00,-44.0002158,-45.45459237
ADID_1,2025-01-07 21:27:00,-45.45934743,-45.45454567
ADID_1,2025-01-10 05:38:00,-44.000491,-44.0000038
ADID_1,2025-01-02 06:31:00,-45.45959228,-44.000006
ADID_1,2025-01-03 08:41:00,-44.0002018,-45.45459654
ADID_1,2025-01-07 23:23:00,-45.45971989,-44.0000023
ADID_1,2025-01-08 06:32:00,-45.4545539,-45.45459782
ADID_1,2025-01-07 06:49:00,-45.45951202,-45.45454523
ADID_2,2025-01-01 18:04:00,-44.0003978,-44.0000021
ADID_2,2025-01-04 11:36:00,-45.45455463,-44.0000044
ADID_2,2025-01-04 03:56:00,-45.45926864,-45.45459574
ADID_2,2025-01-02 06:14:00,-44.000723,-45.45459281
ADID_2,2025-01-09 13:06:00,-44.0000068,-45.45459839
ADID_2,2025-01-10 14:30:00,-45.4596295,-44.0000001
ADID_2,2025-01-08 19:37:00,-45.45924911,-44.0000088
ADID_2,2025-01-02 22:34:00,-44.0005582,-45.45454541
ADID_2,2025-01-10 18:19:00,-44.0004917,-44.000006
ADID_2,2025-01-07 10:03:00,-45.45970252,-45.45459397
ADID_3,2025-01-09 11:25:00,-44.0005595,-45.45459119
ADID_3,2025-01-01 15:59:00,-45.45964938,-45.45459895
ADID_3,2025-01-06 23:13:00,-45.4545162,-44.0000068
ADID_3,2025-01-04 04:46:00,-45.4596171,-44.0000015
ADID_3,2025-01-07 07:24:00,-44.000862,-44.0000026
ADID_3,2025-01-05 15:42:00,-44.0006445,-45.4545974
ADID_3,2025-01-04 23:08:00,-45.45933855,-45.45459145
ADID_3,2025-01-08 10:18:00,-45.459138,-45.45459507
ADID_3,2025-01-10 15:01:00,-45.45973789,-45.45459465
ADID_9,2025-01-10 15:02:00,-45.4598,-44
ADID_3,2025-01-01 04:31:00,-45.45968413,-44.0000067
ADID_4,2025-01-01 09:13:00,45.43108588,136.0521549
ADID_4,2025-01-01 09:39:00,-86.87447976,-11.23918091
ADID_4,2025-01-01 23:36:00,7.770147456,12.28234189
ADID_4,2025-01-01 21:59:00,32.56685541,115.7417371
ADID_4,2025-01-01 02:35:00,68.00073801,-174.065432
ADID_4,2025-01-01 08:51:00,9.936530527,-158.904534
ADID_4,2025-01-01 22:57:00,76.55118456,64.02240314
ADID_4,2025-01-01 05:07:00,-13.82264614,159.3102663
ADID_4,2025-01-01 06:46:00,5.628752764,4.544776285
ADID_4,2025-01-01 01:16:00,-47.20657279,20.57159127
ADID_5,2025-01-01 13:41:00,-86.34981354,-84.47302667
ADID_5,2025-01-01 22:39:00,-17.97795282,23.04965329
ADID_5,2025-01-01 15:08:00,-61.7884656,-88.14212927
ADID_5,2025-01-01 01:09:00,-51.48322441,-92.55914244
ADID_5,2025-01-01 01:12:00,15.93545089,66.07953573
ADID_5,2025-01-01 15:28:00,-45.52404628,-115.9142679
ADID_5,2025-01-01 07:39:00,69.70780065,-47.94694704
ADID_5,2025-01-01 22:17:00,38.62249276,-119.4242876
ADID_5,2025-01-01 09:29:00,-55.26655298,-126.2260119
ADID_5,2025-01-01 08:51:00,-61.7184545,164.1203894
ADID_6,2025-01-01 09:05:00,-47.06917259,41.12373344
ADID_6,2025-01-01 09:16:00,-25.1344494,-74.52466057
ADID_6,2025-01-01 10:37:00,88.03945911,26.84832811
ADID_6,2025-01-01 19:40:00,23.68527165,72.21444137
ADID_6,2025-01-01 18:39:00,35.46311553,136.2877587
ADID_6,2025-01-01 17:53:00,-79.89242125,-23.27738303
ADID_6,2025-01-01 20:12:00,-70.37702749,177.9092309
ADID_6,2025-01-01 08:39:00,-88.58763183,164.2887104
ADID_6,2025-01-01 00:39:00,73.90166804,69.85452505
ADID_6,2025-01-01 05:13:00,15.44563152,-13.85248094
ADID_7,2025-01-01 16:43:00,24.49782416,54.6186795
ADID_7,2025-01-01 09:25:00,40.30129203,37.92501613
ADID_7,2025-01-01 18:58:00,14.1159072,23.28989385
ADID_7,2025-01-01 19:22:00,-33.15231338,-133.4067349
ADID_7,2025-01-01 14:17:00,-6.758772293,-8.259415651
ADID_7,2025-01-01 09:08:00,40.80529841,130.1514716
ADID_7,2025-01-01 00:02:00,41.12082155,-85.58772948
ADID_7,2025-01-01 19:28:00,62.47363452,37.85462394
ADID_7,2025-01-01 15:13:00,15.95339045,-120.7906442
ADID_7,2025-01-01 15:57:00,60.42881968,-36.20086806
ADID_8,2025-01-01 01:02:00,-36.19825549,169.0353773
ADID_8,2025-01-01 01:53:00,83.36836108,93.32632266
ADID_8,2025-01-01 22:41:00,19.10420906,-49.698783
ADID_8,2025-01-01 03:52:00,42.58762782,-32.80217681
ADID_8,2025-01-01 00:37:00,23.06750605,-172.068334
ADID_8,2025-01-01 20:42:00,-49.43371369,166.9659738
ADID_8,2025-01-01 21:48:00,-11.45279893,35.97686789
ADID_8,2025-01-01 17:33:00,65.43266122,146.5776456
ADID_8,2025-01-01 11:51:00,-3.964303159,-93.32796071
ADID_8,2025-01-01 14:51:00,-26.56389118,-121.8721766
ADID_9,2025-01-01 04:48:00,50.45932402,51.45459754
ADID_9,2025-01-01 14:47:00,50.45927427,51.45459745
ADID_9,2025-01-01 22:00:00,50.45458846,52.00000939
ADID_9,2025-01-01 23:42:00,50.45947866,52.00001353
ADID_9,2025-01-01 15:28:00,51.00061537,52.00000176
ADID_9,2025-01-01 16:09:00,50.4595952,51.45459211
ADID_9,2025-01-01 18:40:00,50.45457122,51.45458874
ADID_9,2025-01-01 10:46:00,50.45918776,52.0000068
ADID_9,2025-01-01 20:40:00,51.00009101,51.45459557
ADID_9,2025-01-01 11:46:00,50.45948571,52.00001045
ADID_10,2025-01-01 06:34:00,51.00075449,51.45459447
ADID_10,2025-01-01 09:58:00,51.00007357,52.00000349
ADID_10,2025-01-01 18:43:00,50.45977313,51.45459717
